68589;30;-43;519;-74;57;10
69041;22;-30;754;-8;-10;-22
69491;-33;-6;522;30;33;6
69953;25;-17;455;-6;44;0
70405;-11;-14;444;-30;21;-8
70858;16;-21;526;1;14;-9
71309;1;-7;451;-16;37;-12
71762;-5;-6;558;-6;-50;-16
72213;8;7;514;17;-20;9
72665;9;-12;508;5;-19;-10
73115;209;88;760;-66;725;-38
73567;112;3;575;-113;-138;-94
74017;14;0;541;7;-4;7
74466;24;0;486;1;13;2
74929;14;3;487;0;11;2
75379;12;2;503;4;-6;-1
75830;11;5;499;0;-1;2
76281;12;5;499;0;-1;2
76732;12;5;500;0;-1;1
77182;12;4;498;0;-1;1
77633;12;5;499;0;0;1
78084;13;5;500;0;-1;1
78534;12;5;499;0;0;1
78985;12;5;499;0;-1;1
79447;13;4;497;0;0;0
79897;-44;50;642;-100;55;95
80349;-92;-127;553;-71;-373;388
80802;89;-219;253;-198;-160;356
81254;372;-177;348;-307;-327;281
81705;411;-277;317;-77;-258;194
82157;328;-195;138;-10;12;81
82608;452;-139;218;87;226;-2
83062;489;-249;133;58;-87;-126
83513;243;-250;38;-172;33;-145
83979;209;-306;191;-95;-179;-129
84429;164;-546;142;-222;-125;-86
84881;142;-542;14;0;91;5
85332;28;-393;41;54;-43;-33
85783;58;-624;11;-149;-174;74
86235;-71;-703;-112;3;85;-157
86686;24;-504;-67;-180;-81;266
87137;140;-390;33;124;290;109
87588;300;-422;183;-4;50;110
88042;284;-388;253;-133;42;29
88493;195;-285;233;62;66;10
88955;223;-203;349;-28;76;-33
89406;249;-335;393;-175;-35;-7
89858;187;-328;359;37;33;61
90309;131;-199;323;107;-41;-18
90760;261;-211;385;111;225;-17
91211;439;-138;344;167;-76;63
91663;439;-145;169;159;-99;-81
92116;339;-223;-17;-14;40;-64
92567;467;-341;48;49;3;-42
93019;414;-422;35;-101;-85;-97
93481;218;-375;-24;-57;39;10
93932;244;-390;138;-31;103;-31
94384;287;-492;154;-26;9;42
94835;326;-397;134;85;69;104
95289;276;-243;140;31;4;-13
95742;262;-324;138;-160;-24;-35
96193;379;-434;183;-50;-53;4
96645;353;-433;155;-60;-32;42
97095;257;-309;137;-1;-45;60
97547;218;-309;111;43;35;-54
97997;318;-418;167;-235;159;186
98460;379;-352;242;49;-139;-27
98912;260;-328;122;79;21;14
99362;197;-289;54;-6;-39;-57
99814;284;-494;152;-3;109;-70
100264;363;-441;194;-7;28;132
100716;354;-310;149;62;-2;0
101170;243;-233;145;103;-28;-88
101621;242;-411;116;-59;-67;-77
102073;329;-465;137;51;41;52
102524;265;-388;189;-37;5;-13
102986;155;-280;61;20;-194;-35
103440;82;-495;85;-150;17;-293
103891;38;-594;60;-159;40;7
104343;85;-525;54;20;32;5
104794;27;-396;58;70;-75;85
105245;-238;-261;-14;-352;-63;-517
105697;-656;-200;-109;-56;58;-256
106150;-629;-96;-133;-43;58;-31
106601;-486;-176;-116;-20;13;-54
107053;-374;-99;-83;-57;-37;183
107504;-369;-113;-126;71;41;25
107966;-639;-174;-131;21;-1;30
108418;-550;-141;-125;-39;26;-123
108869;-477;-188;-123;-12;35;-118
109321;-373;-118;-83;-58;-99;179
109770;-393;-84;-137;0;163;-27
110224;-661;-141;-118;1;-3;65
110675;-531;-142;-134;-63;43;-71
111127;-426;-217;-110;-12;-50;-45
111579;-369;-103;-111;39;-93;217
112030;-509;-119;-157;22;42;-96
112492;-606;-128;-154;-56;159;-156
112944;-471;-53;-105;-219;203;-65
113395;-395;-40;-199;8;245;-59
113847;-532;-7;-312;104;72;-125
114298;-421;0;-227;-92;-29;-54
114749;-448;91;-274;34;-8;-95
115201;-453;138;-224;9;-19;26
115652;-469;139;-226;-8;15;-13
116104;-469;136;-220;47;-14;5
116554;-467;143;-204;5;2;0
117008;-469;142;-200;5;6;15
117474;-472;139;-188;-2;-1;1
117927;-474;140;-183;9;-12;-4
118378;-470;131;-173;8;16;-5
118830;-478;144;-175;-3;17;14
119280;-520;-28;-239;-154;182;398
119732;-249;-366;-212;142;-102;382
120183;-68;-377;-274;117;-192;161
120635;-125;-183;-450;-36;-375;66
121086;-87;-23;-563;73;-18;5
121538;-6;-3;-551;-43;-107;64
122000;15;52;-546;156;-41;7
122451;0;59;-549;7;8;-3
122902;9;55;-552;32;-15;8
123354;-2;48;-552;-2;-19;-10
